Carimbo de data/hora,"Este estudo convida você a participar de um questionário online sobre a opinião e experiência dos estudantes da PUC-Rio ao utilizar o Sistema Acadêmico Universitário(SAU). O objetivo do estudo é identificar fatores positivos e negativos no sistema do aluno atual da Universidade, bem como identificar possiveis melhorias e fornecer informações que auxiliem na gestão da vida acadêmica.
Sua participação neste estudo é totalmente anônima. As respostas ao questionário serão armazenadas em um banco de dados seguro e não serão identificadas por nome ou qualquer outro dado pessoal.
Sua participação neste estudo é voluntária. Você pode se recusar a participar ou retirar seu consentimento a qualquer momento, sem qualquer prejuízo.
Declaro que li este termo e concordo em participar.",Seu curso é de qual centro?,Você é bolsista?,Qual periodo voce se encontra?,Qual o seu nível de satisfação geral utilizando o Sistema Acadêmico - SAU?,"Qual o seu nível de satisfação em relação ao design, o layout do Sistema Acadêmico - SAU?","Dentre as funcionalidades do SAU, quais você considera as mais relevantes hoje?",Quais funcionalidades você gostaria de ter no SAU?,Você utilizaria um aplicativo móvel do SAU?
02/04/2024 17:41:39,Sim,Centro Técnico e Científico (CTC),Sim,Entre o 1º e o 4º período,5,3,"Horários e Salas das Disciplinas, Histórico acadêmico, Atividades complementares, Acesso as notas, Acesso ao número de faltas","Notificações de horários, provas, faltas, etc;, Mais objetividade e centralização das informações, Calculadora de notas",Sim
02/04/2024 17:50:46,Sim,Centro de Ciências Sociais (CCS),Sim,Entre o 1º e o 4º período,6,6,"Histórico acadêmico, Acesso as notas","Notificações de horários, provas, faltas, etc;, Calculadora de notas",Sim
02/04/2024 18:11:54,Sim,Centro Técnico e Científico (CTC),Não,Entre o 1º e o 4º período,4,3,"Horários e Salas das Disciplinas, Acesso as notas","Notificações de horários, provas, faltas, etc;, Mais objetividade e centralização das informações, Calculadora de notas",Sim
03/04/2024 08:57:40,Sim,Centro Técnico e Científico (CTC),Sim,Entre o 1º e o 4º período,5,3,"Horários e Salas das Disciplinas, Atividades complementares, Acesso as notas","Notificações de horários, provas, faltas, etc;, Mais objetividade e centralização das informações","Não, prefiro usar no navegador mesmo"
03/04/2024 15:11:19,Sim,Centro Técnico e Científico (CTC),Sim,Entre o 1º e o 4º período,6,6,"Horários e Salas das Disciplinas, Histórico acadêmico, Documentação pendente, Atividades complementares, Grupo de Optativas do Aluno, Acesso as notas, Acesso ao número de faltas",Calculadora de notas,Sim
04/04/2024 09:03:05,Sim,Centro Técnico e Científico (CTC),Sim,Entre o 1º e o 4º período,3,1,"Horários e Salas das Disciplinas, Histórico acadêmico, Atividades complementares, Acesso as notas","Notificações de horários, provas, faltas, etc;, Microhorário mais detalhado, Mais objetividade e centralização das informações, Calculadora de notas",Sim
04/04/2024 09:03:58,Sim,Centro Técnico e Científico (CTC),Sim,Entre o 1º e o 4º período,3,2,"Horários e Salas das Disciplinas, Documentação pendente, Acesso as notas, Acesso ao número de faltas","Notificações de horários, provas, faltas, etc;, Microhorário mais detalhado, Mais objetividade e centralização das informações, Calculadora de notas",Sim
04/04/2024 09:04:55,Sim,Centro Técnico e Científico (CTC),Sim,Entre o 1º e o 4º período,5,3,"Horários e Salas das Disciplinas, Atividades complementares, Acesso as notas","Notificações de horários, provas, faltas, etc;, Microhorário mais detalhado, Mais objetividade e centralização das informações",Sim
04/04/2024 09:05:18,Sim,Centro Técnico e Científico (CTC),Sim,Entre o 1º e o 4º período,4,2,"Horários e Salas das Disciplinas, Histórico acadêmico, Documentação pendente, Atividades complementares, Grupo de Optativas do Aluno, Acesso as notas, Acesso ao número de faltas",Calculadora de notas,"Não, prefiro usar no navegador mesmo"
04/04/2024 09:20:02,Sim,Centro de Teologia e Ciências Humanas (CTCH),Não,Entre o 5º e o 8º período,3,1,"Horários e Salas das Disciplinas, Atividades complementares, Acesso as notas","Notificações de horários, provas, faltas, etc;, Microhorário mais detalhado, Mais objetividade e centralização das informações, Calculadora de notas",Sim
04/04/2024 09:20:53,Sim,Centro de Teologia e Ciências Humanas (CTCH),Não,Entre o 1º e o 4º período,1,4,"Horários e Salas das Disciplinas, Histórico acadêmico, Atividades complementares, Acesso ao número de faltas","Notificações de horários, provas, faltas, etc;, Microhorário mais detalhado, Mais objetividade e centralização das informações, Calculadora de notas",Sim
04/04/2024 09:34:17,Sim,Centro de Teologia e Ciências Humanas (CTCH),Não,Entre o 1º e o 4º período,2,2,"Horários e Salas das Disciplinas, Histórico acadêmico, Atividades complementares, Acesso as notas, Acesso ao número de faltas","Microhorário mais detalhado, Calculadora de notas",Sim
04/04/2024 09:53:00,Sim,Centro Técnico e Científico (CTC),Sim,Entre o 1º e o 4º período,4,1,"Horários e Salas das Disciplinas, Acesso as notas, Acesso ao número de faltas","Notificações de horários, provas, faltas, etc;, Calculadora de notas",Sim
04/04/2024 10:04:51,Sim,Centro Técnico e Científico (CTC),Sim,Entre o 1º e o 4º período,6,4,"Horários e Salas das Disciplinas, Documentação pendente, Atividades complementares, Acesso as notas, Acesso ao número de faltas","Notificações de horários, provas, faltas, etc;, Microhorário mais detalhado, Mais objetividade e centralização das informações, Calculadora de notas",Sim
04/04/2024 13:17:43,Sim,Centro de Teologia e Ciências Humanas (CTCH),Sim,Acima do 8º período,5,3,"Horários e Salas das Disciplinas, Histórico acadêmico, Atividades complementares, Acesso as notas, Acesso ao número de faltas","Notificações de horários, provas, faltas, etc;, Microhorário mais detalhado, Mais objetividade e centralização das informações, Calculadora de notas","Não, prefiro usar no navegador mesmo"
04/04/2024 13:17:47,Sim,Centro Técnico e Científico (CTC),Não,Entre o 5º e o 8º período,4,2,"Horários e Salas das Disciplinas, Histórico acadêmico, Documentação pendente, Atividades complementares, Grupo de Optativas do Aluno, Acesso as notas, Acesso ao número de faltas","Notificações de horários, provas, faltas, etc;, Microhorário mais detalhado, Mais objetividade e centralização das informações, Calculadora de notas",Sim
04/04/2024 13:18:31,Sim,Centro Técnico e Científico (CTC),Sim,Entre o 1º e o 4º período,2,2,"Horários e Salas das Disciplinas, Histórico acadêmico, Documentação pendente, Atividades complementares, Acesso as notas","Notificações de horários, provas, faltas, etc;, Mais objetividade e centralização das informações",Sim
04/04/2024 13:19:20,Sim,Centro Técnico e Científico (CTC),Não,Entre o 1º e o 4º período,7,4,"Horários e Salas das Disciplinas, Histórico acadêmico, Atividades complementares, Acesso as notas","Notificações de horários, provas, faltas, etc;",Sim
04/04/2024 13:19:28,Sim,Centro de Ciências Sociais (CCS),Sim,Entre o 1º e o 4º período,4,5,"Histórico acadêmico, Acesso as notas, Acesso ao número de faltas","Notificações de horários, provas, faltas, etc;, Mais objetividade e centralização das informações, Calculadora de notas",Sim
04/04/2024 13:19:36,Sim,Centro de Teologia e Ciências Humanas (CTCH),Sim,Entre o 5º e o 8º período,2,2,"Horários e Salas das Disciplinas, Histórico acadêmico","Notificações de horários, provas, faltas, etc;, Calculadora de notas",Sim
04/04/2024 13:21:18,Sim,,Sim,Acima do 8º período,4,2,"Atividades complementares, Acesso as notas, Acesso ao número de faltas","Notificações de horários, provas, faltas, etc;, Microhorário mais detalhado",Sim
05/04/2024 16:49:45,Sim,Centro de Teologia e Ciências Humanas (CTCH),Sim,Entre o 5º e o 8º período,4,4,"Horários e Salas das Disciplinas, Histórico acadêmico, Documentação pendente, Atividades complementares, Grupo de Optativas do Aluno, Acesso as notas, Acesso ao número de faltas","Notificações de horários, provas, faltas, etc;, Calculadora de notas",Sim